Q	label
헬로우	3
헬로	3
안부 인사드립니다.	3
먼저 인사하려고 했는데 짝남이 먼저 인사해줬어. 더 떨렸겠어요.	3
먼저 인사할까 했는데 짝녀가 먼저 인사해줬어. 기분 좋았겠네요.	3
각자 집에 인사드리러 가 제가 더 떨리네요.	3
이별의 마무리 가벼운 안부 인사일 거예요.	3
용기내서 새해인사 했네 이제 연락하지 마세요.	3
오늘 마지막 인사를 하러가네 미련없길 바랄게요.	3
오늘 마지막 인사하러 갑니다. 미련없이 정리했긴 바랍니다.	3
내 마음에 마지막 인사 마음이랑 잘 인사해요.	3
먼저 잘게 잘자 안녕히 주무세요.	3
진짜 이제 안녕 맘고생 많았어요.	3
잘가 안녕.	3
이제 진짜 안녕!! 안녕!	3
안뇽	3
이젠 진짜 진짜 안녕 맘 고생 많았어요.	3
안녕을 고하며 잘 보내주었나요.	3
안녕하세 안녕하세요.	3
안녕하세요	3
반가워요	3
반가반가	3
방가방가	3
하이	3
안녕	3
좋은 아침이야	3
진짜 반갑다	3
요즘 어떻게 지냈어요?	3
잘 지냈습니까?	3
잘지내지?	3
만나서 반가워요	3
만나서 반갑습니다	3
하이루	3
반갑	3
잘지냈어요?	3
잘지냈어?	3
나 먼저 잘게 안녕히 주무세요.	3
안녕히 주무세요.	3
안녕 안녕하세요.	3
안녕안녕 안녕하세요.	3
안녕하세요 안녕하세요.	3
안뇽 안녕하세요.	3
ㅎㅇ	3
ㅎㅇㅎㅇ	3
hi	3
Hi	3
안뇨오오오옹	3
히사시부리	3
만반잘부	3
만반	3
안녀엉	3
하이용	3
하이이	3
반갑습니다	3
반갑다네	3
히읗이응	3
안녕쓰	3
하이쓰	3
하이다요	3
안녕화살법	3
안녕하신가	3
안녕하니	3
반갑니	3
만나서 반가워요 잘 부탁드려요	3
만나서 방가방가	3
ㅎㅇ안녕	3
ㅎㅇㅎㅇ안녕	3
안녕하세요 주문하고싶은데요	3
안녕 주문좀	3
포장	0
ㅍㅈ	0
싸이버거 포장	0
포장해주세요	0
포장주문이요	0
포장 부탁	0
포장해줄래?	0
포장원해요	0
포장 주문 받아줘	0
포장 가능?	0
싸이버거 포장 주문	0
싸이 1개 포장	0
싸이 포장할래	0
싸이버거 포장 부탁	0
싸이버거 포오오오오장 	0
싸이버거 포장 한다	0
포장 싸이버거 한개	0
싸이버거 1개 포장해주세요	0
햄버거 포장이요	0
포장이요	0
포장 부탁쓰	0
포장 플리즈	0
포장해서 줘	0
포장 가능한가요?	0
싸이 포장 주문	0
싸이 포장할게	0
포장해갈게	0
찾으러갈게	0
포장해서 준비해주세요	0
싸이버거 매장으로 찾으러 갈게요	0
매장으로 찾으러 감	0
찾으러 감	0
찾아감	0
찾아갈거야	0
매장으로 찾으러 갈거야	0
싸이버거 찾으러 갈게요	0
직접 가져갈게요	0
가지러 갈게요	0
가질러가요	0
테이크 아웃 	0
테이크 아웃으로 준비 해주세요	0
테잌 아웃 해갈게요	0
싸이버거 테이크 아웃	0
싸이버거 가지러 감	0
싸이버거 방문 수령	0
수령하러 갈게요	0
수령	0
수령할거야	0
싸이버거 수령하러 감	0
수령 주문 가능?	0
방문 주문 가능?	0
테이크 아웃 주문 가능?	0
테이크 아웃 가능?	0
테이크아웃 하고 싶어요	0
방문 포장 하고싶어요	0
찾으러 가고 싶어요	0
가지러 가고 싶어요	0
가지러가는  가능한가요?	0
가지러 가고 싶은데 가능?	0
포장 주문 가능한가요?	0
찾으러 갈게요 빨리 준비해주세요	0
가지러 갈게요 빨리 준비해주세요	0
가지러 갈건데 금방 가요	0
받으러 갈게요	0
싸이버거 1개 받으러 갈게요	0
딥치즈버거 찾으러 갈게요	0
딥치즈 받으러 감	0
딥치즈 테이크 아웃 	0
테이크 아웃 딥치즈 1개	0
딥치즈 방문 포장 	0
방문해서 찾아 갈래요	0
딥치즈 수령하러 갈게요	0
수령 주문 	0
수령한다	0
받으러 간다	0
받아갈거야	0
받음	0
포장할거야	0
포장으로 부탁	0
딥치즈 포장 주문	0
딥치즈 포장해갈게	0
딥치즈 포장으로 부탁해	0
딥치즈버거 테이크 아웃	0
테이크아웃 할건데 딥치즈한개	0
딥치즈한개 찾으러 갈게요	0
찾을거에요	0
직접 가서 받을게요	0
직접 갈건데 싸이버거 한개 준비해주세요	0
테이크 아웃 할건데 싸이버거 두개 준비해주세요	0
포장 주문이고 싸이버거 세개요	0
포장으로 	0
매장으로 테이크 아웃이요	0
매장으로 테이크 아웃	0
12시까지 준비해주세요	0
한시까지 준비해주세요	0
한시가지 찾으러 갈게요	0
한시까지 받으러 갈게요	0
열두시까지 갈게요	0
내일까지 찾으러 갈게요	0
내일까지 방문할게요	0
내일 방문함	0
내일 찾으러 감	0
오늘 찾으러 감	0
오늘 수령하러 가요	0
오늘 받으러 갈게요	0
오늘 테이크 아웃 할거에요	0
오늘 포장해 갈게요	0
오늘 포장할 거에요	0
오늘 포장 주문이요	0
내일 포장 주문인데요	0
내일 포장 가능한가요?	0
이따 찾으러 갈게요	0
이따 방문할게요	0
이따가 방문할건데요	0
이따가 포장해갈건데요	0
이따가 포장 주문	0
이따 테이크 아웃할게요	0
싸이버거 한개 이따 찾으러 갈게요	0
싸이버거 한개 테이크 아웃 할게요	0
딥치즈버거 두개 방문해서 찾아갈게요	0
이따가 가지러 갈게요	0
이따 가지러 감	0
내일꺼 포장해주세요	0
내일 찾으러 갈게요	0
싸이버거 포장해주세요	0
포장으로 싸이버거 1	0
포장 싸이버거 두개	0
싸이버거 두개 포장해주삼	0
포장해주삼	0
포장 부탁 드립니다.	0
포장해서 주세요	0
가지러 가게 포장해주세요	0
가지러 갈거니까 포장으로 해주세요	0
포장 주문 받아줘	0
방문할게요	0
방문 주문이요	0
싸이버거 두개 방문 주문	0
방문	0
딥치즈버거 한개 방문할게요	0
2시까지 준비해주세요	0
2시까지 방문할게요	0
직접 방문할게요	0
방문할건데요 두시까지 준비해주세요	0
딥치즈버거 방문 주문	0
3시까지 테이크 아웃 가능?	0
3시까지 테이크 아웃 가능한가요?	0
3시까지 찾으러 가도 될까요?	0
내일까지 방문해도 될까요?	0
이따 방문해도 될까요?	0
이따 찾으러 가도 되나요?	0
찾으러 가도 되나요?	0
방문해도 되나요?	0
포장 방문 되나요?	0
테이크 아웃해도 될까요?	0
찾으러 가도 괜찮을까요?	0
포장 문의하고 드립니다	0
포장 주문 받아줘	0
방문 주문 받아줘	0
테이크아웃 주문 받아줘	0
포장 ㄱㄱ	0
포장으로 ㄱ	0
포장으로 ㄱㄱ	0
방문 ㄱㄱ	0
테이크아웃ㄱㄱ	0
포장하고파	0
포장할꾸야	0
포장해갈꾸여	0
찾으러 갈꾸야	0
방문할꾸야	0
포장 선택	0
포장으로 선택	0
방문으로 선택	0
방문 선택	0
방문한다!	0
포장한다!	0
포장으로 한다!	0
찾으러 간다!	0
테이크아웃 할거다!	0
싸이버거 준비해줘!	0
딥치즈버거 포장해줘!	0
포장해줘	0
가지러 감	0
가지러 갈거에요	0
싸이버거 한개 가지러 갈게요	0
딥치즈버거 가지러 갈게요	0
딥치즈 가질러 감	0
가질러 가요	0
가질러 갈게요	0
16시까지 테이크아웃 할래요	0
저.. 통새우버거 한개 포장하고 싶은데요	0
화이트갈릭버거 한개 포장이요!!	0
화이트갈릭버거 한개 포장하고 싶어요	0
싸이버거 1개 받으러 이따 갈게요	0
인크레더블버거 한개 통새우버거 두개 포장이요	0
인크레더블버거 한개 포장하고 싶어서요	0
인크레더블버거 1개 포장해주세요	0
통새우버거 한개 포장할래요	0
싸이버거 한개 인크레더블버거 한개 포장이요	0
이따 찾으러 갈게요!!	0
싸이버거 한개 이따가 받으러 갈게요	0
통새우버거 한개 포장하고 싶어요	0
통새우버거 한개 인크레더블버거 두개 포장이요	0
인크레더블버거 1개 이따 찾으러 갈게요	0
딥치즈버거 한개 화이트갈릭버거 한개 포장이요	0
통새우버거 한개 받으러 이따 가져갈게요	0
통새우버거 1개 포장할래요!!	0
테이크아웃할게요	0
딥치즈버거 한개 포장 방문할게요	0
화이트갈릭버거 1개 이따 찾으러 갈게요!!	0
싸이버거 한개 가져갈게요	0
딥치즈버거 1개 가지러갈래요	0
싸이버거 1개 포장할래요	0
화이트갈릭버거 1개 포장하고 싶어요	0
네시까지 테이크아웃 가능한가요?	0
화이트갈릭버거 1개 포장 방문할게요	0
통새우버거 1개 화이트갈릭버거 1개 포장이요	0
통새우버거 1개 포장 가능한가요?	0
이따가 받으러 갈게요	0
가지러 갈게요!!	0
인크레더블버거 한개 이따가 가지러 갈게요	0
통새우버거 1개 태이크아웃할게요	0
인크레더블버거 한개 이따가 받으러 갈게요	0
테이크아웃 할래요!!	0
딥치즈버거 한개 인크레더블버거 한개 포장이요	0
9시까지 갈게요	0
딥치즈버거 한개 이따가 찾으러 갈게요	0
인크레더블버거 한개 포장해주세요	0
통새우버거 1개 이따 가지러 갈게요	0
화이트갈릭버거 1개 통새우버거 1개 포장이요	0
통새우버거 한개 포장하겠습니다	0
딥치즈버거 1개 포장하고 싶어서요!!	0
여덟시까지 가면 될까요?	0
화이트갈릭버거 1개 받으러 이따 가져갈게요!!	0
싸이버거 1개 이따가 받으러 갈게요	0
인크레더블버거 한개 포장 방문할게요	0
인크레더블버거 한개 이따 갈게요!!	0
1시까지 테이크아웃 가능한가요?	0
인크레더블버거 1개 찾으러 갈게요!!	0
싸이버거 한개 포장하고 싶어요	0
딥치즈버거 1개 이따가 가져갈게요	0
싸이버거 한개 이따가 가져갈게요	0
통새우버거 한개 포장이요!!	0
딥치즈버거 한개 포장이요!!	0
인크레더블버거 한개 테이크아웃 할래요!!	0
두시까지 테이크아웃 할래요	0
딥치즈버거 한개 방문 포장할게요	0
싸이버거 1개 가지러갈래요!!	0
싸이버거 한개 가지러 갈게요!!	0
화이트갈릭버거 1개 주문	0
20시까지 준비해주세요	0
18시까지 테이크아웃 할래요	0
통새우버거 1개 포장으로 선택	0
딥치즈버거 1개 포장	0
인크레더블버거 한개 싸이버거 한개 포장이요	0
인크레더블버거 1개 포장부탁드립니다	0
싸이버거 한개 이따 찾으러 갈게요	0
인크레더블버거 한개 포장하고 싶어요	0
딥치즈버거 한개 받으러 이따 가져갈게요!!	0
인크레더블버거 1개 가져갈게요!!	0
화이트갈릭버거 1개 가지러 갈게요!!	0
싸이버거 한개 테이크아웃 할래요	0
통새우버거 1개 포장이요!!	0
싸이버거 한개 이따 갈게요	0
열한시까지 테이크아웃 할래요	0
인크레더블버거 1개 포장하고 싶어서요	0
인크레더블버거 1개 가지러 갈게요!!	0
저.. 인크레더블버거 한개 포장하고 싶은데요	0
화이트갈릭버거 한개 태이크아웃할게요	0
이따 가지러 갈게요	0
화이트갈릭버거 한개 받으러 이따 가져갈게요!!	0
인크레더블버거 한개 포장이요!!	0
13시까지 테이크아웃 할래요	0
17시까지 테이크아웃 할래요	0
딥치즈버거 한개 이따 가지러 갈게요	0
통새우버거 한개 포장할게요!!	0
여덟시까지 준비해주세요	0
화이트갈릭버거 1개 가져갈게요!!	0
4시까지 테이크아웃 가능한가요?	0
23시까지 갈게요	0
화이트갈릭버거 1개 가지러갈래요!!	0
아홉까지 준비해주세요	0
화이트갈릭버거 한개 포장할게요	0
싸이버거 1개 딥치즈버거2개 포장이요	0
싸이버거 한개 이따 받으러 갈게요	0
통새우버거 1개 테이크아웃 할래요!!	0
통새우버거 1개 딥치즈버거 1개 포장이요	0
통새우버거 한개 가지러 갈게요	0
화이트갈릭버거 한개 인크레더블버거 한개 포장이요	0
인크레더블버거 1개 테이크아웃 하겠습니다	0
화이트갈릭버거 한개 찾으러 갈게요	0
찾으러 갈게요	0
17시까지 테이크아웃 가능한가요?	0
인크레더블버거 한개 포장 가능한가요?	0
인크레더블버거 한개 통새우버거 한개 포장이요	0
통새우버거 1개 인크레더블버거 1개 포장이요	0
화이트갈릭버거 한개 이따 받으러 갈게요	0
딥치즈버거 한개 이따가 찾으러 갈게요	0
인크레더블버거 1개 딥치즈버거 1개 포장이요	0
통새우버거 한개 받으러 이따 갈게요!!	0
화이트갈릭버거 한개 이따 찾으러 갈게요	0
6시까지 가면 될까요?	0
통새우버거 한개 주문할게요	0
싸이버거 한개 이따 받으러 갈게요!!	0
통새우버거 한개 가지러갈래요	0
인크레더블버거 1개 이따가 받으러 갈게요	0
딥치즈버거 한개 이따가 받으러 갈게요	0
통새우버거 1개 이따가 찾으러 갈게요	0
이따 받으러 갈게요	0
4시까지 갈게요	0
싸이버거 1개 포장할래요!!	0
인크레더블버거 1개 화이트갈릭버거 2개 포장이요	0
통새우버거 1개 포장할래요	0
싸이버거 1개 포장할게요	0
화이트갈릭버거 한개 가지러갈래요	0
싸이버거 1개 이따 받으러 갈게요!!	0
22시까지 준비해주세요	0
17시까지 갈게요	0
화이트갈릭버거 한개 이따가 찾으러 갈게요	0
통새우버거 1개 싸이버거 1개 포장이요	0
통새우버거 한개 테이크아웃할게요	0
통새우버거 1개 이따 찾으러 갈게요!!	0
딥치즈버거 한개 받으러 이따 갈게요	0
딥치즈버거 한개 이따 갈게요!!	0
싸이버거 한개 인크레더블버거 두개 포장이요	0
16시까지 가면 될까요?	0
14시까지 준비해주세요	0
화이트갈릭버거 1개 받으러 갈게요!!	0
화이트갈릭버거 한개 포장하겠습니다	0
화이트갈릭버거 1개 테이크아웃 하겠습니다!!	0
딥치즈버거 한개 포장하고 싶어요	0
싸이버거 한개 포장으로 선택	0
포장해주세요	0
통새우버거 한개 찾으러 갈게요	0
통새우버거 한개 이따 갈래요!!	0
인크레더블버거 한개 이따 가져갈게요	0
3시까지 갈게요	0
화이트갈릭버거 한개 포장으로 선택	0
1시까지 테이크아웃 할래요	0
싸이버거 1개 이따 가지러 갈게요	0
인크레더블버거 1개 가지러 갈게요	0
21시까지 준비해주세요	0
딥치즈버거 1개 싸이버거 2개 포장이요	0
싸이버거 한개 화이트갈릭버거 두개 포장이요	0
싸이버거 한개 이따 갈래요	0
20시까지 갈게요	0
인크레더블버거 1개 주문할게요	0
통새우버거 한개 이따가 받으러 갈게요	0
인크레더블버거 1개 이따 가져갈게요	0
열한시까지 테이크아웃 가능한가요?	0
딥치즈버거 1개 가져갈게요!!	0
화이트갈릭버거 한개 포장할래요	0
싸이버거 한개 딥치즈버거 한개 포장이요	0
통새우버거 한개 가지러갈래요!!	0
통새우버거 1개 포장하겠습니다	0
통새우버거 1개 받으러 이따 갈게요	0
화이트갈릭버거 한개 가지러 갈게요	0
통새우버거 한개 딥치즈버거 한개 포장이요 	0
싸이버거 1개 딥치즈버거 1개 포장이요	0
딥치즈버거 1개 포장하고 싶어요!!	0
화이트갈릭버거 한개 통새우버거 한개 포장이요	0
딥치즈버거 1개 테이크아웃 하겠습니다!!	0
싸이버거 1개 화이트갈릭버거 1개 포장이요	0
21시까지 테이크아웃 할래요	0
딥치즈버거 한개 포장 방문할게요!!	0
화이트갈릭버거 한개 요청할게요	0
통새우버거 한개 이따 갈게요!!	0
인크레더블버거 1개 이따 받으러가겠습니다	0
화이트갈릭버거 1개 딥치즈버거 1개 포장이요	0
통새우버거 1개 인크레더블버거 2개 포장이요	0
화이트갈릭버거 1개 주문할게요	0
딥치즈버거 한개 포장할게요	0
싸이버거 1개 이따 갈게요!!	0
다섯시까지 준비해주세요	0
딥치즈버거 한개 이따가 가지러 갈게요	0
딥치즈버거 1개 요청할게요	0
5시까지 준비해주세요	0
딥치즈버거 1개 찾으러 갈게요	0
인크레더블버거 1개 포장하고 싶어서요!!	0
딥치즈버거 1개 포장이요!!	0
화이트갈릭버거 한개 포장	0
딥치즈버거 1개 가지러갈래요!!	0
싸이버거 1개 통새우버거 1개 포장이요	0
통새우버거 1개 포장하고 싶어요	0
화이트갈릭버거 한개 주문	0
화이트갈릭버거 1개 이따가 받으러 갈게요	0
인크레더블버거 1개 테이크아웃 할게요	0
1시까지 가면 될까요?	0
딥치즈버거 한개 테이크아웃 하겠습니다!!	0
인크레더블버거 1개 방문 포장할게요	0
한시까지 갈게요	0
두시까지 갈게요	0
저.. 화이트갈릭버거 한개 포장하고 싶은데요	0
화이트갈릭버거 한개 가지러갈래요!!	0
화이트갈릭버거 1개 싸이버거 1개 포장이요	0
싸이버거 1개 포장하고 싶어서요	0
6시까지 갈게요	0
통새우버거 한개 받으러 이따 가져갈게요!!	0
싸이버거 한개 이따 찾으러 갈게요!!	0
화이트갈릭버거 1개 이따가 찾으러 갈게요	0
12시까지 테이크아웃 가능한가요?	0
5시까지 가면 될까요?	0
통새우버거 1개 포장할게요	0
통새우버거 1개 포장부탁드립니다	0
싸이버거 1개 포장하겠습니다	0
싸이버거 1개 이따 찾으러 갈게요!!	0
딥치즈버거 1개 포장하고 싶어요	0
싸이버거 한개 이따가 찾으러 갈게요	0
싸이버거 한개 가져갈게요!!	0
딥치즈버거 1개 찾으러 갈게요!!	0
딥치즈버거 1개 이따 가지러 갈게요	0
인크레더블버거 한개 포장하겠습니다	0
딥치즈버거 한개 테이크아웃 할래요	0
인크레더블버거 한개 포장할게요	0
13시까지 테이크아웃 가능한가요?	0
인크레더블버거 1개 포장 가능한가요?	0
10시까지 준비해주세요	0
화이트갈릭버거 1개 찾으러 갈게요	0
이따 갈게요!!	0
통새우버거 한개 이따가 받으러 갈게요	0
인크레더블버거 1개 통새우버거 1개 포장이요	0
싸이버거 1개 포장 방문할게요!!	0
23시까지 준비해주세요	0
다섯시까지 갈게요	0
통새우버거 한개 이따가 찾으러 갈게요	0
딥치즈버거 한개 화이트갈릭버거 두개 포장이요	0
딥치즈버거 한개 요청	0
인크레더블버거 한개 이따가 가져갈게요	0
인크레더블버거 1개 이따 받으러 갈게요	0
딥치즈버거 1개 통새우버거 1개 포장이요	0
딥치즈버거 한개 포장할래요	0
포장하고 싶어요	0
통새우버거 1개 딥치즈버거 1개 포장이요 	0
통새우버거 1개 이따 갈래요!!	0
22시까지 갈게요	0
인크레더블버거 1개 포장할건데요	0
화이트갈릭버거 1개 싸이버거 2개 포장이요	0
화이트갈릭버거 한개 테이크아웃 할래요	0
화이트갈릭버거 1개 포장할래요!!	0
통새우버거 한개 싸이버거 한개 포장이요	0
싸이버거 한개 화이트갈릭버거 한개 포장이요	0
통새우버거 한개 화이트갈릭버거 한개 포장이요	0
통새우버거 1개 주문할게요	0
딥치즈버거 1개 이따 찾으러 갈게요!!	0
14시까지 테이크아웃 가능한가요?	0
딥치즈버거 한개 이따 갈래요!!	0
통새우버거 한개 이따 찾으러 갈게요	0
아홉까지 갈게요	0
3시까지 테이크아웃 가능한가요?	0
인크레더블버거 한개 이따가 받으러 갈게요	0
싸이버거 한개 테이크아웃 할게요	0
싸이버거 1개 요청	0
방문 포장할게요!!	0
8시까지 테이크아웃 할래요	0
화이트갈릭버거 1개 포장하고 싶어요!!	0
인크레더블버거 1개 포장하겠습니다	0
아홉까지 테이크아웃 할래요	0
싸이버거 한개 받으러 이따 갈게요!!	0
한시까지 준비해주세요	0
화이트갈릭버거 1개 방문 포장할게요!!	0
가져갈게요	0
인크레더블버거 1개 딥치즈버거 1개 포장이요	0
싸이버거 한개 포장할게요	0
화이트갈릭버거 한개 이따 갈게요!!	0
테이크아웃 하겠습니다	0
딥치즈버거 1개 포장으로 선택	0
이따 갈게요	0
통새우버거 1개 주문	0
테이크아웃 할게요	0
화이트갈릭버거 1개 이따 찾으러 갈게요	0
인크레더블버거 한개 요청할게요	0
딥치즈버거 1개 이따 받으러 갈게요!!	0
네시까지 테이크아웃 할래요	0
인크레더블버거 한개 포장 방문할게요!!	0
인크레더블버거 한개 포장하고 싶어요!!	0
두시까지 준비해주세요	0
2시까지 가면 될까요?	0
싸이버거 1개 가지러 갈게요!!	0
16시까지 갈게요	0
딥치즈버거 1개 포장부탁드립니다	0
열두시까지 갈게요	0
딥치즈버거 한개 이따 찾으러 갈게요	0
22시까지 테이크아웃 할래요	0
인크레더블버거 1개 통새우버거 2개 포장이요	0
화이트갈릭버거 1개 포장할래요	0
인크레더블버거 1개 받으러 이따 갈게요	0
인크레더블버거 1개 포장	0
통새우버거 한개 이따 받으러 갈게요!!	0
일곱시까지 가면 될까요?	0
포장하고 싶어요!!	0
20시까지 테이크아웃 가능한가요?	0
싸이버거 1개 화이트갈릭버거 2개 포장이요	0
딥치즈버거 한개 테이크아웃할게요	0
여섯시까지 테이크아웃 가능한가요?	0
21시까지 테이크아웃 가능한가요?	0
통새우버거 한개 이따 받으러 갈게요	0
화이트갈릭버거 한개 이따 찾으러 갈게요!!	0
통새우버거 1개 포장하고 싶어서요!!	0
통새우버거 한개 포장할래요!!	0
통새우버거 1개 요청	0
통새우버거 한개 이따 갈게요	0
세시까지 테이크아웃 할래요	0
인크레더블버거 1개 포장이요	0
싸이버거 한개 인크레더블버거 한개 포장이요	0
싸이버거 1개 테이크아웃 할래요!!	0
인크레더블버거 1개 이따 갈게요!!	0
싸이버거 1개 이따 갈래요!!	0
통새우버거 한개 이따 가져갈게요	0
인크레더블버거 한개 받으러 갈게요	0
딥치즈버거 한개 싸이버거 한개 포장이요	0
통새우버거 한개 포장하고 싶어서요	0
3시까지 가면 될까요?	0
화이트갈릭버거 한개 포장할건데요	0
통새우버거 1개 이따가 찾으러 갈게요	0
화이트갈릭버거 한개 받으러 갈게요	0
인크레더블버거 1개 테이크아웃 하겠습니다!!	0
인크레더블버거 1개 포장할게요!!	0
통새우버거 1개 화이트갈릭버거 2개 포장이요	0
화이트갈릭버거 한개 포장할래요!!	0
받으러 갈게요!!	0
화이트갈릭버거 1개 테이크아웃 할게요	0
인크레더블버거 한개 딥치즈버거 한개 포장이요	0
통새우버거 1개 포장	0
인크레더블버거 1개 이따가 가져갈게요	0
19시까지 테이크아웃 가능한가요?	0
8시까지 갈게요	0
화이트갈릭버거 한개 테이크아웃 할래요!!	0
싸이버거 한개 통새우버거 한개 포장이요	0
11시까지 가면 될까요?	0
24시까지 테이크아웃 할래요	0
저.. 딥치즈버거 한개 포장하고 싶은데요	0
화이트갈릭버거 1개 포장으로 선택	0
12시까지 가면 될까요?	0
딥치즈버거 1개 포장 방문할게요!!	0
싸이버거 1개 포장부탁드립니다	0
딥치즈버거 한개 이따가 가지러 갈게요	0
딥치즈버거 1개 이따 받으러 갈게요	0
일곱시까지 갈게요	0
딥치즈버거 한개 테이크아웃 할래요!!	0
딥치즈버거 1개 포장할게요	0
통새우버거 1개 테이크아웃할게요	0
싸이버거 1개 인크레더블버거 1개 포장이요	0
통새우버거 한개 주문	0
싸이버거 1개 테이크아웃 할래요	0
딥치즈버거 한개 찾으러 갈게요	0
통새우버거 1개 받으러 이따 갈게요!!	0
딥치즈버거 한개 받으러 갈게요	0
11시까지 테이크아웃 가능한가요?	0
통새우버거 1개 포장할게요!!	0
세시까지 준비해주세요	0
12시까지 테이크아웃 할래요	0
딥치즈버거 1개 이따 갈게요	0
화이트갈릭버거 한개 받으러 이따 가져갈게요	0
싸이버거 한개 포장 방문할게요!!	0
딥치즈버거 1개 싸이버거 1개 포장이요	0
여섯시까지 가면 될까요?	0
통새우버거 한개 화이트갈릭버거 두개 포장이요	0
싸이버거 1개 받으러 이따 가져갈게요!!	0
15시까지 테이크아웃 할래요	0
7시까지 갈게요	0
화이트갈릭버거 1개 인크레더블버거 1개 포장이요	0
