Q	label
인크레더블버거 한개 방문 포장할게요!!	0
인크레더블버거 한개 받으러 이따 가져갈게요	0
포장할게요!!	0
포장으로 선택	0
19시까지 준비해주세요	0
딥치즈버거 한개 이따 가져갈게요	0
18시까지 테이크아웃 가능한가요?	0
딥치즈버거 1개 받으러 이따 가져갈게요	0
인크레더블버거 한개 가져갈게요!!	0
싸이버거 한개 이따 가져갈게요	0
통새우버거 한개 이따가 찾으러 갈게요	0
열한시까지 갈게요	0
인크레더블버거 한개 딥치즈버거 한개 포장이요	0
인크레더블버거 1개 이따 찾으러 갈게요!!	0
통새우버거 1개 찾으러 갈게요!!	0
딥치즈버거 한개 받으러 이따 가져갈게요	0
일곱시까지 테이크아웃 가능한가요?	0
인크레더블버거 1개 방문 포장할게요!!	0
싸이버거 1개 요청	0
열시까지 가면 될까요?	0
인크레더블버거 1개 이따 가지러 갈게요	0
여섯시까지 준비해주세요	0
딥치즈버거 1개 이따가 받으러 갈게요	0
저.. 싸이버거 1개 포장하고 싶은데요	0
딥치즈버거 1개 통새우버거 2개 포장이요	0
인크레더블버거 1개 화이트갈릭버거 1개 포장이요	0
23시까지 테이크아웃 할래요	0
통새우버거 한개 이따 가지러 갈게요	0
화이트갈릭버거 한개 포장이요	0
딥치즈버거 한개 가지러 갈게요	0
싸이버거 한개 이따 받으러 갈게요	0
딥치즈버거 1개 이따 찾으러 갈게요	0
싸이버거 한개 방문 포장할게요!!	0
20시까지 테이크아웃 할래요	0
열시까지 준비해주세요	0
딥치즈버거 한개 가지러 갈게요!!	0
화이트갈릭버거 한개 이따가 받으러 갈게요	0
화이트갈릭버거 1개 이따가 가지러 갈게요	0
딥치즈버거 한개 가져갈게요!!	0
싸이버거 1개 인크레더블버거 2개 포장이요	0
여덟시까지 테이크아웃 가능한가요?	0
포장 방문할게요	0
10시까지 테이크아웃 할래요	0
4시까지 가면 될까요?	0
화이트갈릭버거 1개 이따 가져갈게요	0
15시까지 갈게요	0
싸이버거 1개 포장하고 싶어서요!!	0
싸이버거 1개 방문 포장할게요	0
다섯시까지 가면 될까요?	0
인크레더블버거 한개 받으러 이따 가져갈게요!!	0
싸이버거 한개 찾으러 갈게요	0
싸이버거 한개 이따 갈래요!!	0
포장하고 싶어서요!!	0
다섯시까지 테이크아웃 가능한가요?	0
통새우버거 1개 가지러갈래요	0
딥치즈버거 1개 인크레더블버거 1개 포장이요	0
화이트갈릭버거 한개 통새우버거 두개 포장이요	0
통새우버거 한개 인크레더블버거 한개 포장이요	0
싸이버거 1개 포장으로 선택	0
통새우버거 1개 이따가 가져갈게요	0
딥치즈버거 한개 포장할게요!!	0
24시까지 테이크아웃 가능한가요?	0
인크레더블버거 1개 화이트갈릭버거 1개 포장이요	0
딥치즈버거 한개 태이크아웃할게요	0
화이트갈릭버거 1개 방문 포장할게요	0
화이트갈릭버거 한개 방문 포장할게요	0
1시까지 준비해주세요	0
일곱시까지 테이크아웃 할래요	0
싸이버거 1개 찾으러 갈게요	0
통새우버거 1개 가져갈게요	0
16시까지 테이크아웃 가능한가요?	0
통새우버거 한개 싸이버거 두개 포장이요	0
인크레더블버거 1개 이따가 가져갈게요	0
통새우버거 한개 이따가 가지러 갈게요	0
네시까지 가면 될까요?	0
포장 방문할게요!!	0
화이트갈릭버거 1개 이따 받으러가겠습니다	0
딥치즈버거 1개 주문할게요	0
싸이버거 한개 포장	0
통새우버거 1개 가지러 갈게요!!	0
싸이버거 1개 포장할건데요	0
2시까지 테이크아웃 할래요	0
딥치즈버거 1개 이따가 찾으러 갈게요	0
싸이버거 1개 이따가 찾으러 갈게요	0
싸이버거 한개 가지러갈래요!!	0
통새우버거 1개 테이크아웃 할래요	0
딥치즈버거 한개 포장하고 싶어요!!	0
인크레더블버거 1개 받으러 갈게요!!	0
인크레더블버거 한개 화이트갈릭버거 한개 포장이요	0
인크레더블버거 한개 받으러 갈게요!!	0
딥치즈버거 한개 이따 받으러가겠습니다	0
포장 가능한가요?	0
딥치즈버거 한개 포장할게요	0
싸이버거 1개 포장	0
딥치즈버거 한개 이따 찾으러 갈게요	0
화이트갈릭버거 1개 이따가 가지러 갈게요	0
딥치즈버거 1개 포장할게요!!	0
화이트갈릭버거 1개 테이크아웃 할래요	0
인크레더블버거 한개 포장할건데요	0
싸이버거 1개 테이크아웃 하겠습니다!!	0
인크레더블버거 한개 포장할게요	0
딥치즈버거 1개 요청	0
인크레더블버거 1개 테이크아웃 할래요	0
이따 갈래요!!	0
화이트갈릭버거 1개 요청	0
딥치즈버거 1개 주문	0
통새우버거 한개 요청할게요	0
인크레더블버거 1개 태이크아웃할게요	0
인크레더블버거 한개 받으러 이따 갈게요!!	0
싸이버거 한개 이따가 가져갈게요	0
열두시까지 가면 될까요?	0
싸이버거 한개 받으러 이따 가져갈게요	0
화이트갈릭버거 한개 인크레더블버거두개 포장이요	0
화이트갈릭버거 한개 주문할게요	0
통새우버거 한개 포장으로 선택	0
인크레더블버거 한개 주문	0
6시까지 테이크아웃 가능한가요?	0
딥치즈버거 한개 이따 받으러 갈게요!!	0
통새우버거 1개 받으러 갈게요!!	0
이따 가져갈게요!!	0
인크레더블버거 한개 포장할래요!!	0
화이트갈릭버거 한개 딥치즈버거 두개 포장이요	0
화이트갈릭버거 한개 가지러 갈게요!!	0
딥치즈버거 한개 요청할게요	0
화이트갈릭버거 한개 이따가 가져갈게요	0
싸이버거 1개 통새우버거 2개 포장이요	0
통새우버거 한개 싸이버거 한개 포장이요	0
저.. 싸이버거 한개 포장하고 싶은데요	0
화이트갈릭버거 1개 통새우버거 2개 포장이요	0
싸이버거 한개 포장 방문할게요	0
딥치즈버거 1개 이따 찾으러 갈게요	0
통새우버거 1개 포장 방문할게요	0
테이크아웃 하겠습니다!!	0
화이트갈릭버거 1개 이따 갈래요!!	0
싸이버거 1개 가져갈게요!!	0
9시까지 가면 될까요?	0
싸이버거 1개 포장할게요	0
통새우버거 한개 찾으러 갈게요!!	0
화이트갈릭버거 한개 포장 방문할게요!!	0
11시까지 준비해주세요	0
싸이버거 1개 포장 방문할게요	0
통새우버거 1개 인크레더블버거 1개 포장이요	0
딥치즈버거 한개 이따 갈게요	0
딥치즈버거 1개 가져갈게요	0
싸이버거 1개 테이크아웃 하겠습니다	0
인크레더블버거 1개 가지러갈래요!!	0
18시까지 준비해주세요	0
여덟시까지 갈게요	0
이따 받으러가겠습니다	0
통새우버거 1개 이따 받으러 갈게요	0
인크레더블버거 한개 이따 받으러 갈게요	0
인크레더블버거 1개 이따가 가지러 갈게요	0
싸이버거 한개 가지러갈래요	0
딥치즈버거 한개 인크레더블버거 두개 포장이요	0
통새우버거 1개 싸이버거 1개 포장이요	0
인크레더블버거 한개 가지러 갈게요	0
싸이버거 1개 받으러 갈게요!!	0
딥치즈버거 1개 싸이버거 1개 포장이요	0
인크레더블버거 한개 가지러 갈게요!!	0
화이트갈릭버거 한개 포장 가능한가요?	0
싸이버거 한개 통새우버거 두개 포장이요	0
통새우버거 1개 가지러 갈게요	0
이따 가져갈게요	0
인크레더블버거 1개 이따가 찾으러 갈게요	0
싸이버거 한개 포장하고 싶어서요!!	0
포장하고 싶어서요	0
인크레더블버거 한개 태이크아웃할게요	0
싸이버거 1개 이따가 가져갈게요	0
이따 갈게요!!	0
포장이요!!	0
통새우버거 1개 이따 갈게요!!	0
화이트갈릭버거 1개 이따가 가져갈게요	0
여덟시까지 테이크아웃 할래요	0
한시까지 테이크아웃 할래요	0
11시까지 갈게요	0
통새우버거 1개 받으러 이따 가져갈게요	0
인크레더블버거 1개 통새우버거 1개 포장이요	0
통새우버거 1개 테이크아웃 하겠습니다!!	0
인크레더블버거 한개 이따 받으러가겠습니다	0
18시까지 갈게요	0
인크레더블버거 1개 요청	0
화이트갈릭버거 한개 이따 가져갈게요	0
통새우버거 1개 받으러 갈게요	0
화이트갈릭버거 한개 테이크아웃 하겠습니다!!	0
화이트갈릭버거 1개 이따 받으러 갈게요	0
화이트갈릭버거 1개 이따 찾으러 갈게요	0
통새우버거 1개 포장이요	0
인크레더블버거 1개 싸이버거 1개 포장이요	0
통새우버거 한개 이따가 가져갈게요	0
딥치즈버거 1개 이따가 찾으러 갈게요	0
통새우버거 한개 포장할게요	0
화이트갈릭버거 한개 이따 가지러 갈게요	0
딥치즈버거 한개 이따 찾으러 갈게요!!	0
화이트갈릭버거 1개 받으러 갈게요	0
통새우버거 1개 싸이버거 2개 포장이요	0
싸이버거 한개 포장하겠습니다	0
통새우버거 1개 딥치즈버거 2개 포장이요	0
인크레더블버거 1개 이따가 받으러 갈게요	0
세시까지 갈게요	0
딥치즈버거 1개 포장이요	0
화이트갈릭버거 1개 가지러갈래요	0
싸이버거 한개 포장이요!!	0
인크레더블버거 1개 받으러 이따 가져갈게요!!	0
통새우버거 1개 이따가 받으러 갈게요	0
통새우버거 한개 테이크아웃 하겠습니다	0
21시까지 갈게요	0
여섯시까지 갈게요	0
통새우버거 한개 포장해주세요	0
이따가 가져갈게요	0
17시까지 가면 될까요?	0
싸이버거 1개 이따 받으러가겠습니다	0
포장이요	0
딥치즈버거 한개 가져갈게요	0
통새우버거 한개 이따 찾으러 갈게요	0
통새우버거 1개 가지러갈래요!!	0
인크레더블버거 1개 포장이요!!	0
통새우버거 한개 테이크아웃 할래요	0
화이트갈릭버거 1개 포장 방문할게요!!	0
딥치즈버거 한개 주문할게요	0
15시까지 테이크아웃 가능한가요?	0
포장할건데요	0
화이트갈릭버거 한개 테이크아웃할게요	0
인크레더블버거 1개 요청할게요	0
10시까지 갈게요	0
딥치즈버거 한개 포장할래요!!	0
인크레더블버거 한개 포장부탁드립니다	0
인크레더블버거 한개 테이크아웃할게요	0
싸이버거 1개 받으러 이따 가져갈게요	0
14시까지 가면 될까요?	0
딥치즈버거 한개 이따가 가져갈게요	0
딥치즈버거 한개 이따 받으러 갈게요	0
화이트갈릭버거 한개 테이크아웃 할게요	0
딥치즈버거 한개 포장하고 싶어서요!!	0
싸이버거 1개 포장하고 싶어요!!	0
인크레더블버거 한개 딥치즈버거 두개 포장이요	0
화이트갈릭버거 한개 포장해주세요	0
인크레더블버거 1개 포장으로 선택	0
열시까지 테이크아웃 가능한가요?	0
화이트갈릭버거 1개 테이크아웃 하겠습니다	0
7시까지 가면 될까요?	0
통새우버거 한개 포장 가능한가요?	0
싸이버거 한개 이따 받으러가겠습니다	0
싸이버거 한개 화이트갈릭버거 한개 포장이요	0
화이트갈릭버거 1개 테이크아웃 할래요!!	0
통새우버거 한개 이따가 가져갈게요	0
통새우버거 1개 방문 포장할게요!!	0
싸이버거 1개 요청할게요	0
통새우버거 한개 딥치즈버거 두개 포장이요	0
싸이버거 1개 주문할게요	0
인크레더블버거 1개 테이크아웃할게요	0
포장할게요	0
딥치즈버거 1개 화이트갈릭버거 2개 포장이요	0
화이트갈릭버거 한개 포장 방문할게요	0
싸이버거 1개 테이크아웃 할게요	0
화이트갈릭버거 1개 포장할게요	0
12시까지 준비해주세요	0
화이트갈릭버거 한개 이따가 받으러 갈게요	0
싸이버거 한개 이따가 가지러 갈게요	0
통새우버거 한개 받으러 갈게요	0
인크레더블버거 1개 이따 받으러 갈게요!!	0
싸이버거 한개 포장할건데요	0
인크레더블버거 1개 싸이버거2개 포장이요	0
통새우버거 한개 가져갈게요	0
싸이버거 1개 포장할게요!!	0
싸이버거 한개 포장할래요	0
딥치즈버거 한개 포장할건데요	0
통새우버거 1개 이따 찾으러 갈게요	0
싸이버거 1개 이따가 가져갈게요	0
인크레더블버거 한개 테이크아웃 하겠습니다	0
딥치즈버거 한개 포장이요	0
10시까지 테이크아웃 가능한가요?	0
통새우버거 1개 이따 받으러 갈게요!!	0
싸이버거 1개 포장할게요	0
딥치즈버거 한개 포장 가능한가요?	0
7시까지 테이크아웃 할래요	0
싸이버거 1개 화이트갈릭버거 1개 포장이요	0
통새우버거 한개 포장부탁드립니다	0
싸이버거 한개 방문 포장할게요	0
화이트갈릭버거 1개 딥치즈버거 2개 포장이요	0
16시까지 준비해주세요	0
인크레더블버거 1개 테이크아웃 할래요!!	0
딥치즈버거 1개 포장해주세요	0
딥치즈버거 한개 싸이버거 두개 포장이요	0
24시까지 준비해주세요	0
세시까지 테이크아웃 가능한가요?	0
통새우버거 한개 받으러 이따 갈게요	0
딥치즈버거 한개 주문	0
통새우버거 한개 포장	0
화이트갈릭버거 1개 태이크아웃할게요	0
딥치즈버거 한개 찾으러 갈게요!!	0
13시까지 갈게요	0
화이트갈릭버거 한개 테이크아웃 하겠습니다	0
화이트갈릭버거 1개 이따가 받으러 갈게요	0
4시까지 준비해주세요	0
이따가 가져갈게요	0
24시까지 갈게요	0
딥치즈버거 한개 이따 갈래요	0
싸이버거 1개 포장	0
가지러갈래요!!	0
인크레더블버거 1개 딥치즈버거 2개 포장이요	0
딥치즈버거 1개 포장할래요	0
딥치즈버거 1개 받으러 갈게요!!	0
싸이버거 한개 포장 가능한가요?	0
싸이버거 1개 통새우버거 1개 포장이요	0
화이트갈릭버거 1개 가져갈게요	0
열두시까지 준비해주세요	0
통새우버거 1개 가져갈게요!!	0
싸이버거 1개 이따가 가지러 갈게요	0
싸이버거 한개 통새우버거 한개 포장이요	0
화이트갈릭버거 한개 이따가 가지러 갈게요	0
인크레더블버거 1개 포장할게요	0
이따 받으러 갈게요!!	0
딥치즈버거 한개 포장	0
통새우버거 1개 포장할게요	0
싸이버거 1개 인크레더블버거 1개 포장이요	0
화이트갈릭버거 1개 이따 받으러 갈게요	0
19시까지 테이크아웃 할래요	0
통새우버거 한개 테이크아웃 하겠습니다!!	0
싸이버거 한개 가지러 갈게요	0
화이트갈릭버거 한개 이따 받으러가겠습니다	0
통새우버거 한개 이따 받으러 갈게요	0
통새우버거 한개 테이크아웃 할게요	0
인크레더블버거 한개 가져갈게요	0
4시까지 테이크아웃 할래요	0
싸이버거 한개 포장이요	0
딥치즈버거 한개 가지러갈래요!!	0
딥치즈버거 1개 인크레더블버거 2개 포장이요	0
싸이버거 한개 포장할게요!!	0
싸이버거 한개 포장해주세요	0
통새우버거 한개 이따가 가지러 갈게요	0
딥치즈버거 1개 포장하겠습니다	0
화이트갈릭버거 1개 싸이버거 1개 포장이요	0
싸이버거 한개 받으러 이따 갈게요	0
인크레더블버거 한개 화이트갈릭버거 한개 포장이요	0
딥치즈버거 1개 이따 받으러 갈게요	0
통새우버거 1개 이따가 가져갈게요	0
22시까지 테이크아웃 가능한가요?	0
화이트갈릭버거 한개 이따가 가져갈게요	0
화이트갈릭버거 1개 받으러 이따 가져갈게요	0
23시까지 가면 될까요?	0
싸이버거 한개 딥치즈버거 한개 포장이요	0
인크레더블버거 1개 이따 갈래요	0
6시까지 테이크아웃 할래요	0
화이트갈릭버거 1개 포장이요	0
인크레더블버거 1개 포장할래요!!	0
화이트갈릭버거 한개 포장할게요!!	0
통새우버거 한개 포장할게요	0
인크레더블버거 한개 포장으로 선택	0
싸이버거 1개 가지러갈래요	0
열시까지 테이크아웃 할래요	0
통새우버거 1개 찾으러 갈게요	0
화이트갈릭버거 한개 가져갈게요	0
인크레더블버거 한개 이따 찾으러 갈게요	0
싸이버거 한개 이따 가지러 갈게요	0
싸이버거 한개 요청	0
싸이버거 1개 주문할게요	0
화이트갈릭버거 한개 받으러 이따 갈게요!!	0
싸이버거 한개 받으러 갈게요	0
9시까지 테이크아웃 할래요	0
딥치즈버거 1개 포장 가능한가요?	0
저.. 포장하고 싶은데요	0
가지러갈래요	0
딥치즈버거 1개 포장하고 싶어서요	0
저.. 딥치즈버거 1개 포장하고 싶은데요	0
인크레더블버거 한개 통새우버거 한개 포장이요	0
통새우버거 1개 포장하고 싶어요!!	0
인크레더블버거 1개 포장하고 싶어요	0
인크레더블버거 1개 이따가 찾으러 갈게요	0
통새우버거 1개 받으러 이따 가져갈게요!!	0
싸이버거 한개 받으러 이따 가져갈게요!!	0
2시까지 준비해주세요	0
이따가 찾으러 갈게요	0
14시까지 테이크아웃 할래요	0
딥치즈버거 1개 이따 갈게요!!	0
통새우버거 1개 포장해주세요	0
통새우버거 1개 이따가 가지러 갈게요	0
화이트갈릭버거 한개 포장하고 싶어서요!!	0
인크레더블버거 1개 찾으러 갈게요	0
화이트갈릭버거 1개 이따 받으러 갈게요!!	0
21시까지 가면 될까요?	0
통새우버거 1개 이따가 가지러 갈게요	0
딥치즈버거 1개 받으러 갈게요	0
통새우버거 한개 이따 받으러가겠습니다	0
8시까지 준비해주세요	0
통새우버거 1개 포장할건데요	0
화이트갈릭버거 한개 포장부탁드립니다	0
화이트갈릭버거 한개 싸이버거 한개 포장이요	0
인크레더블버거 한개 이따가 찾으러 갈게요	0
딥치즈버거 1개 테이크아웃 할래요	0
화이트갈릭버거 1개 포장하고 싶어서요!!	0
열두시까지 테이크아웃 가능한가요?	0
인크레더블버거 한개 테이크아웃 하겠습니다!!	0
아홉까지 테이크아웃 가능한가요?	0
딥치즈버거 1개 화이트갈릭버거 1개 포장이요	0
싸이버거 1개 포장해주세요	0
싸이버거 1개 가지러 갈게요	0
22시까지 가면 될까요?	0
싸이버거 한개 테이크아웃 하겠습니다!!	0
딥치즈버거 1개 인크레더블버거 1개 포장이요	0
포장할래요	0
인크레더블버거 한개 싸이버거 한개 포장이요	0
딥치즈버거 한개 통새우버거 한개 포장이요	0
열시까지 갈게요	0
통새우버거 한개 포장하고 싶어요!!	0
화이트갈릭버거 1개 이따가 찾으러 갈게요	0
화이트갈릭버거 1개 딥치즈버거 1개 포장이요	0
싸이버거 한개 태이크아웃할게요	0
인크레더블버거 1개 이따 찾으러 갈게요	0
두시까지 테이크아웃 가능한가요?	0
딥치즈버거 1개 가지러 갈게요	0
인크레더블버거 한개 포장할래요	0
가지러 갈게요	0
통새우버거 한개 요청	0
찾으러 갈게요!!	0
3시까지 준비해주세요	0
통새우버거 한개 포장하고 싶어서요!!	0
인크레더블버거 한개 싸이버거두개 포장이요	0
통새우버거 한개 화이트갈릭버거 한개 포장이요	0
9시까지 준비해주세요	0
이따가 가지러 갈게요	0
인크레더블버거 1개 이따 받으러 갈게요	0
싸이버거 1개 포장하고 싶어요	0
싸이버거 1개 주문	0
딥치즈버거 한개 포장하고 싶어서요	0
화이트갈릭버거 한개 이따 찾으러 갈게요	0
딥치즈버거 1개 테이크아웃할게요	0
인크레더블버거 한개 이따 찾으러 갈게요!!	0
화이트갈릭버거 1개 포장하고 싶어서요	0
네시까지 갈게요	0
인크레더블버거 1개 받으러 이따 가져갈게요	0
화이트갈릭버거 1개 받으러 이따 갈게요!!	0
여섯시까지 테이크아웃 할래요	0
화이트갈릭버거 한개 딥치즈버거 한개 포장이요	0
이따 갈래요	0
인크레더블버거 1개 이따 갈래요!!	0
인크레더블버거 한개 방문 포장할게요	0
12시까지 갈게요	0
싸이버거 1개 주문	0
인크레더블버거 1개 포장 방문할게요!!	0
화이트갈릭버거 한개 가져갈게요!!	0
인크레더블버거 한개 가지러갈래요	0
테이크아웃 할래요	0
화이트갈릭버거 1개 이따가 가져갈게요	0
화이트갈릭버거 한개 통새우버거 한개 포장이요	0
딥치즈버거 한개 가지러갈래요	0
13시까지 가면 될까요?	0
통새우버거 한개 인크레더블버거 한개 포장이요	0
딥치즈버거 한개 인크레더블버거 한개 포장이요	0
딥치즈버거 1개 포장할건데요	0
화이트갈릭버거 한개 이따 받으러 갈게요!!	0
15시까지 준비해주세요	0
딥치즈버거 1개 이따 가져갈게요	0
화이트갈릭버거 1개 찾으러 갈게요!!	0
딥치즈버거 1개 이따 갈래요	0
딥치즈버거 1개 받으러 이따 갈게요!!	0
화이트갈릭버거 1개 포장 가능한가요?	0
딥치즈버거 1개 방문 포장할게요	0
딥치즈버거 1개 방문 포장할게요!!	0
화이트갈릭버거 한개 이따 갈래요!!	0
인크레더블버거 한개 이따 갈게요	0
통새우버거 1개 요청할게요	0
싸이버거 1개 방문 포장할게요!!	0
2시까지 갈게요	0
화이트갈릭버거 1개 포장	0
통새우버거 한개 가져갈게요!!	0
딥치즈버거 1개 이따가 가지러 갈게요	0
통새우버거 한개 방문 포장할게요	0
네시까지 준비해주세요	0
인크레더블버거 한개 찾으러 갈게요	0
싸이버거 한개 테이크아웃 하겠습니다	0
열한시까지 준비해주세요	0
딥치즈버거 한개 이따 받으러 갈게요	0
인크레더블버거 한개 이따가 찾으러 갈게요	0
화이트갈릭버거 1개 포장할게요	0
화이트갈릭버거 한개 포장하고 싶어서요	0
싸이버거 1개 테이크아웃할게요	0
싸이버거 한개 테이크아웃할게요	0
화이트갈릭버거 1개 요청할게요	0
화이트갈릭버거 1개 포장이요!!	0
인크레더블버거 1개 가지러갈래요	0
20시까지 가면 될까요?	0
싸이버거 한개 주문할게요	0
통새우버거 한개 포장 방문할게요!!	0
싸이버거 1개 이따 받으러 갈게요	0
싸이버거 1개 이따가 찾으러 갈게요	0
딥치즈버거 한개 포장부탁드립니다	0
인크레더블버거 한개 포장이요	0
18시까지 가면 될까요?	0
딥치즈버거 1개 테이크아웃 하겠습니다	0
인크레더블버거 1개 받으러 이따 갈게요!!	0
화이트갈릭버거 한개 받으러 이따 갈게요	0
딥치즈버거 1개 이따가 가지러 갈게요	0
인크레더블버거 한개 이따 가지러 갈게요	0
딥치즈버거 한개 통새우버거 두개 포장이요	0
인크레더블버거 1개 포장할래요	0
화이트갈릭버거 한개 요청	0
화이트갈릭버거 1개 이따 가지러 갈게요	0
24시까지 가면 될까요?	0
통새우버거 한개 받으러 갈게요!!	0
화이트갈릭버거 1개 포장해주세요	0
화이트갈릭버거 1개 이따 갈게요	0
딥치즈버거 1개 이따 받으러가겠습니다	0
싸이버거 한개 주문	0
이따가 가지러 갈게요	0
통새우버거 1개 테이크아웃 할게요	0
인크레더블버거 한개 이따 갈래요!!	0
인크레더블버거 한개 포장할게요!!	0
싸이버거 1개 이따 찾으러 갈게요	0
포장하겠습니다	0
딥치즈버거 한개 테이크아웃 하겠습니다	0
화이트갈릭버거 1개 이따 갈래요	0
딥치즈버거 1개 이따가 받으러 갈게요	0
싸이버거 1개 요청할게요	0
9시까지 테이크아웃 가능한가요?	0
통새우버거 한개 가지러 갈게요!!	0
싸이버거 한개 포장할래요!!	0
화이트갈릭버거 한개 인크레더블버거 한개 포장이요	0
받으러 갈게요	0
아홉까지 가면 될까요?	0
일곱시까지 준비해주세요	0
인크레더블버거 한개 가지러갈래요!!	0
인크레더블버거 한개 요청	0
인크레더블버거 한개 찾으러 갈게요!!	0
저.. 화이트갈릭버거 1개 포장하고 싶은데요	0
딥치즈버거 1개 받으러 이따 가져갈게요!!	0
화이트갈릭버거 1개 포장하겠습니다	0
싸이버거 1개 포장이요	0
화이트갈릭버거 한개 싸이버거 한개 포장이요	0
딥치즈버거 한개 테이크아웃 할게요	0
인크레더블버거 한개 이따 받으러 갈게요!!	0
화이트갈릭버거 한개 이따 받으러 갈게요	0
딥치즈버거 1개 테이크아웃 할래요!!	0
화이트갈릭버거 한개 이따 갈래요	0
싸이버거 1개 받으러 갈게요	0
화이트갈릭버거 1개 포장할건데요	0
이따 받으러 갈게요	0
이따 찾으러 갈게요	0
인크레더블버거 한개 화이트갈릭버거 두개 포장이요	0
인크레더블버거 한개 이따가 가지러 갈게요	0
딥치즈버거 한개 포장해주세요	0
